parameter_server-1  | [Parameter Server] Starting on port 12345
worker1-1           | [Worker 1] Sync #15 completed in 52.455ms (total), comm overhead: 6.2%
worker1-1           | [Worker 1] After 15000 images: accuracy=90.20%
worker1-1           | [Worker 1] After 15000 images: avg_loss=0.158668
parameter_server-1  | [Parameter Server] Worker connected (request #30), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 2.364ms
worker2-1           | [Worker 2] Sent 238200 weights in 2.852ms
parameter_server-1  | [Parameter Server] Updated elastic center in 12.740ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 3.275ms
parameter_server-1  | [Parameter Server] Request #30 processing: 24.106ms total (recv=2.364ms, update=12.740ms, send=3.275ms)
parameter_server-1  | [Parameter Server] Communication: 23.4%, Computation: 52.8%
parameter_server-1  | [Parameter Server] === Processed 30 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 5.218ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #15 completed in 46.524ms (total), comm overhead: 11.2%
worker2-1           | [Worker 2] After 15000 images: accuracy=91.30%
worker2-1           | [Worker 2] After 15000 images: avg_loss=0.126776
parameter_server-1  | [Parameter Server] Worker connected (request #31), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 3.355ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 3.230ms
parameter_server-1  | [Parameter Server] Updated elastic center in 13.694ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 1.994ms
parameter_server-1  | [Parameter Server] Request #31 processing: 28.830ms total (recv=3.230ms, update=13.694ms, send=1.994ms)
parameter_server-1  | [Parameter Server] Communication: 18.1%, Computation: 47.5%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 4.362ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #16 completed in 58.164ms (total), comm overhead: 7.5%
worker1-1           | [Worker 1] After 16000 images: accuracy=90.60%
worker1-1           | [Worker 1] After 16000 images: avg_loss=0.141378
parameter_server-1  | [Parameter Server] Worker connected (request #32), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 1.566ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 3.283ms
parameter_server-1  | [Parameter Server] Updated elastic center in 17.351ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 2.231ms
parameter_server-1  | [Parameter Server] Request #32 processing: 33.426ms total (recv=3.283ms, update=17.351ms, send=2.231ms)
parameter_server-1  | [Parameter Server] Communication: 16.5%, Computation: 51.9%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 3.729ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #16 completed in 53.860ms (total), comm overhead: 6.9%
worker2-1           | [Worker 2] After 16000 images: accuracy=91.30%
worker2-1           | [Worker 2] After 16000 images: avg_loss=0.152873
parameter_server-1  | [Parameter Server] Worker connected (request #33), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 1.164ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.208ms
parameter_server-1  | [Parameter Server] Updated elastic center in 17.795ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 2.426ms
parameter_server-1  | [Parameter Server] Request #33 processing: 35.496ms total (recv=2.208ms, update=17.795ms, send=2.426ms)
parameter_server-1  | [Parameter Server] Communication: 13.1%, Computation: 50.1%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 3.828ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #17 completed in 59.074ms (total), comm overhead: 6.5%
worker1-1           | [Worker 1] After 17000 images: accuracy=92.30%
worker1-1           | [Worker 1] After 17000 images: avg_loss=0.122367
parameter_server-1  | [Parameter Server] Worker connected (request #34), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 1.166ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 1.392ms
parameter_server-1  | [Parameter Server] Updated elastic center in 16.254ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 3.749ms
parameter_server-1  | [Parameter Server] Request #34 processing: 29.040ms total (recv=1.392ms, update=16.254ms, send=3.749ms)
parameter_server-1  | [Parameter Server] Communication: 17.7%, Computation: 56.0%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 2.786ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #17 completed in 47.775ms (total), comm overhead: 5.8%
worker2-1           | [Worker 2] After 17000 images: accuracy=92.20%
worker2-1           | [Worker 2] After 17000 images: avg_loss=0.137342
parameter_server-1  | [Parameter Server] Worker connected (request #35), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 1.387ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.883ms
parameter_server-1  | [Parameter Server] Updated elastic center in 17.178ms
worker1-1           | [Worker 1] Received 238200 center weights in 6.732ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 6.088ms
parameter_server-1  | [Parameter Server] Request #35 processing: 33.160ms total (recv=2.883ms, update=17.178ms, send=6.088ms)
parameter_server-1  | [Parameter Server] Communication: 27.1%, Computation: 51.8%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #18 completed in 50.315ms (total), comm overhead: 13.4%
worker1-1           | [Worker 1] After 18000 images: accuracy=91.70%
worker1-1           | [Worker 1] After 18000 images: avg_loss=0.136294
parameter_server-1  | [Parameter Server] Worker connected (request #36), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 2.422ms
worker2-1           | [Worker 2] Sent 238200 weights in 2.394ms
parameter_server-1  | [Parameter Server] Updated elastic center in 17.331ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 8.919ms
parameter_server-1  | [Parameter Server] Request #36 processing: 35.046ms total (recv=2.422ms, update=17.331ms, send=8.919ms)
parameter_server-1  | [Parameter Server] Communication: 32.4%, Computation: 49.5%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 6.307ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #18 completed in 52.181ms (total), comm overhead: 12.1%
worker2-1           | [Worker 2] After 18000 images: accuracy=92.20%
worker2-1           | [Worker 2] After 18000 images: avg_loss=0.132322
parameter_server-1  | [Parameter Server] Worker connected (request #37), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 1.298ms
worker1-1           | [Worker 1] Sent 238200 weights in 1.430ms
parameter_server-1  | [Parameter Server] Updated elastic center in 14.916ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 2.339ms
parameter_server-1  | [Parameter Server] Request #37 processing: 26.424ms total (recv=1.298ms, update=14.916ms, send=2.339ms)
parameter_server-1  | [Parameter Server] Communication: 13.8%, Computation: 56.4%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 4.876ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #19 completed in 49.520ms (total), comm overhead: 9.8%
worker1-1           | [Worker 1] After 19000 images: accuracy=92.60%
worker1-1           | [Worker 1] After 19000 images: avg_loss=0.094094
parameter_server-1  | [Parameter Server] Worker connected (request #38), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 1.958ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 3.401ms
parameter_server-1  | [Parameter Server] Updated elastic center in 12.554ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 4.931ms
parameter_server-1  | [Parameter Server] Request #38 processing: 26.856ms total (recv=3.401ms, update=12.554ms, send=4.931ms)
parameter_server-1  | [Parameter Server] Communication: 31.0%, Computation: 46.7%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 8.902ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #19 completed in 52.956ms (total), comm overhead: 16.8%
worker2-1           | [Worker 2] After 19000 images: accuracy=92.40%
worker2-1           | [Worker 2] After 19000 images: avg_loss=0.114250
parameter_server-1  | [Parameter Server] Worker connected (request #39), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 2.668ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.606ms
parameter_server-1  | [Parameter Server] Updated elastic center in 18.605ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 3.694ms
parameter_server-1  | [Parameter Server] Request #39 processing: 32.524ms total (recv=2.606ms, update=18.605ms, send=3.694ms)
parameter_server-1  | [Parameter Server] Communication: 19.4%, Computation: 57.2%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 2.702ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #20 completed in 55.316ms (total), comm overhead: 4.9%
worker1-1           | [Worker 1] After 20000 images: accuracy=91.40%
worker1-1           | [Worker 1] After 20000 images: avg_loss=0.102006
parameter_server-1  | [Parameter Server] Worker connected (request #40), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 3.968ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 3.987ms
parameter_server-1  | [Parameter Server] Updated elastic center in 19.683ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 2.488ms
parameter_server-1  | [Parameter Server] Request #40 processing: 37.151ms total (recv=3.987ms, update=19.683ms, send=2.488ms)
parameter_server-1  | [Parameter Server] Communication: 17.4%, Computation: 53.0%
parameter_server-1  | [Parameter Server] === Processed 40 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 17.294ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #20 completed in 76.141ms (total), comm overhead: 22.7%
worker2-1           | [Worker 2] After 20000 images: accuracy=92.60%
worker2-1           | [Worker 2] After 20000 images: avg_loss=0.133195
parameter_server-1  | [Parameter Server] Worker connected (request #41), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 1.890ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.229ms
parameter_server-1  | [Parameter Server] Updated elastic center in 14.960ms
worker1-1           | [Worker 1] Received 238200 center weights in 3.680ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 3.896ms
parameter_server-1  | [Parameter Server] Request #41 processing: 29.759ms total (recv=2.229ms, update=14.960ms, send=3.896ms)
parameter_server-1  | [Parameter Server] Communication: 20.6%, Computation: 50.3%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #21 completed in 54.085ms (total), comm overhead: 6.8%
worker1-1           | [Worker 1] After 21000 images: accuracy=92.60%
worker1-1           | [Worker 1] After 21000 images: avg_loss=0.120731
parameter_server-1  | [Parameter Server] Worker connected (request #42), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 2.307ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 2.241ms
parameter_server-1  | [Parameter Server] Updated elastic center in 14.405ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 3.690ms
parameter_server-1  | [Parameter Server] Request #42 processing: 27.158ms total (recv=2.241ms, update=14.405ms, send=3.690ms)
parameter_server-1  | [Parameter Server] Communication: 21.8%, Computation: 53.0%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 3.587ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #21 completed in 48.894ms (total), comm overhead: 7.3%
worker2-1           | [Worker 2] After 21000 images: accuracy=93.20%
worker2-1           | [Worker 2] After 21000 images: avg_loss=0.127547
parameter_server-1  | [Parameter Server] Worker connected (request #43), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 4.517ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 4.442ms
parameter_server-1  | [Parameter Server] Updated elastic center in 28.032ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 2.434ms
parameter_server-1  | [Parameter Server] Request #43 processing: 44.961ms total (recv=4.442ms, update=28.032ms, send=2.434ms)
parameter_server-1  | [Parameter Server] Communication: 15.3%, Computation: 62.3%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 5.536ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #22 completed in 73.233ms (total), comm overhead: 7.6%
worker1-1           | [Worker 1] After 22000 images: accuracy=93.20%
worker1-1           | [Worker 1] After 22000 images: avg_loss=0.095776
parameter_server-1  | [Parameter Server] Worker connected (request #44), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 1.546ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 3.775ms
parameter_server-1  | [Parameter Server] Updated elastic center in 23.450ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 1.846ms
parameter_server-1  | [Parameter Server] Request #44 processing: 48.210ms total (recv=3.775ms, update=23.450ms, send=1.846ms)
parameter_server-1  | [Parameter Server] Communication: 11.7%, Computation: 48.6%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 5.235ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #22 completed in 76.934ms (total), comm overhead: 6.8%
worker2-1           | [Worker 2] After 22000 images: accuracy=92.00%
worker2-1           | [Worker 2] After 22000 images: avg_loss=0.092401
parameter_server-1  | [Parameter Server] Worker connected (request #45), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 2.540ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.492ms
parameter_server-1  | [Parameter Server] Updated elastic center in 28.734ms
worker1-1           | [Worker 1] Received 238200 center weights in 5.408ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 6.732ms
parameter_server-1  | [Parameter Server] Request #45 processing: 49.844ms total (recv=2.492ms, update=28.734ms, send=6.732ms)
parameter_server-1  | [Parameter Server] Communication: 18.5%, Computation: 57.6%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #23 completed in 78.054ms (total), comm overhead: 6.9%
worker1-1           | [Worker 1] After 23000 images: accuracy=93.10%
worker1-1           | [Worker 1] After 23000 images: avg_loss=0.124746
parameter_server-1  | [Parameter Server] Worker connected (request #46), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 5.543ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 5.354ms
parameter_server-1  | [Parameter Server] Updated elastic center in 15.800ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 2.395ms
parameter_server-1  | [Parameter Server] Request #46 processing: 36.670ms total (recv=5.354ms, update=15.800ms, send=2.395ms)
parameter_server-1  | [Parameter Server] Communication: 21.1%, Computation: 43.1%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 3.951ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #23 completed in 61.364ms (total), comm overhead: 6.4%
worker2-1           | [Worker 2] After 23000 images: accuracy=92.70%
worker2-1           | [Worker 2] After 23000 images: avg_loss=0.144405
parameter_server-1  | [Parameter Server] Worker connected (request #47), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 2.443ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 3.677ms
parameter_server-1  | [Parameter Server] Updated elastic center in 22.046ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 1.473ms
parameter_server-1  | [Parameter Server] Request #47 processing: 41.139ms total (recv=3.677ms, update=22.046ms, send=1.473ms)
parameter_server-1  | [Parameter Server] Communication: 12.5%, Computation: 53.6%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 3.326ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #24 completed in 63.553ms (total), comm overhead: 5.2%
worker1-1           | [Worker 1] After 24000 images: accuracy=93.60%
worker1-1           | [Worker 1] After 24000 images: avg_loss=0.117874
parameter_server-1  | [Parameter Server] Worker connected (request #48), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 5.355ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 6.714ms
parameter_server-1  | [Parameter Server] Updated elastic center in 26.802ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 2.370ms
parameter_server-1  | [Parameter Server] Request #48 processing: 51.286ms total (recv=6.714ms, update=26.802ms, send=2.370ms)
parameter_server-1  | [Parameter Server] Communication: 17.7%, Computation: 52.3%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 9.326ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #24 completed in 83.893ms (total), comm overhead: 11.1%
worker2-1           | [Worker 2] After 24000 images: accuracy=93.20%
worker2-1           | [Worker 2] After 24000 images: avg_loss=0.109283
parameter_server-1  | [Parameter Server] Worker connected (request #49), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.397ms
worker1-1           | [Worker 1] Sent 238200 weights in 2.416ms
parameter_server-1  | [Parameter Server] Updated elastic center in 14.246ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 4.663ms
parameter_server-1  | [Parameter Server] Request #49 processing: 30.338ms total (recv=2.397ms, update=14.246ms, send=4.663ms)
parameter_server-1  | [Parameter Server] Communication: 23.3%, Computation: 47.0%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 10.056ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #25 completed in 64.003ms (total), comm overhead: 15.7%
worker1-1           | [Worker 1] After 25000 images: accuracy=93.30%
worker1-1           | [Worker 1] After 25000 images: avg_loss=0.112742
parameter_server-1  | [Parameter Server] Worker connected (request #50), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 1.918ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 10.146ms
parameter_server-1  | [Parameter Server] Updated elastic center in 21.041ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 8.262ms
parameter_server-1  | [Parameter Server] Request #50 processing: 52.817ms total (recv=10.146ms, update=21.041ms, send=8.262ms)
parameter_server-1  | [Parameter Server] Communication: 34.9%, Computation: 39.8%
parameter_server-1  | [Parameter Server] === Processed 50 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 11.866ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #25 completed in 87.104ms (total), comm overhead: 13.6%
worker2-1           | [Worker 2] After 25000 images: accuracy=92.60%
worker2-1           | [Worker 2] After 25000 images: avg_loss=0.105434
parameter_server-1  | [Parameter Server] Worker connected (request #51), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 1.895ms
worker1-1           | [Worker 1] Sent 238200 weights in 1.555ms
parameter_server-1  | [Parameter Server] Updated elastic center in 20.669ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 2.087ms
parameter_server-1  | [Parameter Server] Request #51 processing: 35.223ms total (recv=1.895ms, update=20.669ms, send=2.087ms)
worker1-1           | [Worker 1] Received 238200 center weights in 3.581ms
parameter_server-1  | [Parameter Server] Communication: 11.3%, Computation: 58.7%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #26 completed in 59.259ms (total), comm overhead: 6.0%
worker1-1           | [Worker 1] After 26000 images: accuracy=92.20%
worker1-1           | [Worker 1] After 26000 images: avg_loss=0.093026
parameter_server-1  | [Parameter Server] Worker connected (request #52), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 2.211ms
worker2-1           | [Worker 2] Sent 238200 weights in 4.159ms
parameter_server-1  | [Parameter Server] Updated elastic center in 23.496ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 1.973ms
parameter_server-1  | [Parameter Server] Request #52 processing: 48.243ms total (recv=2.211ms, update=23.496ms, send=1.973ms)
parameter_server-1  | [Parameter Server] Communication: 8.7%, Computation: 48.7%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 3.300ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #26 completed in 82.915ms (total), comm overhead: 4.0%
worker2-1           | [Worker 2] After 26000 images: accuracy=93.10%
worker2-1           | [Worker 2] After 26000 images: avg_loss=0.087150
parameter_server-1  | [Parameter Server] Worker connected (request #53), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 5.306ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 4.365ms
parameter_server-1  | [Parameter Server] Updated elastic center in 23.618ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 1.689ms
parameter_server-1  | [Parameter Server] Request #53 processing: 40.891ms total (recv=4.365ms, update=23.618ms, send=1.689ms)
parameter_server-1  | [Parameter Server] Communication: 14.8%, Computation: 57.8%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 3.839ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #27 completed in 69.593ms (total), comm overhead: 5.5%
worker1-1           | [Worker 1] After 27000 images: accuracy=93.90%
worker1-1           | [Worker 1] After 27000 images: avg_loss=0.113847
parameter_server-1  | [Parameter Server] Worker connected (request #54), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 2.248ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 3.188ms
parameter_server-1  | [Parameter Server] Updated elastic center in 16.555ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 1.641ms
parameter_server-1  | [Parameter Server] Request #54 processing: 27.843ms total (recv=3.188ms, update=16.555ms, send=1.641ms)
parameter_server-1  | [Parameter Server] Communication: 17.3%, Computation: 59.5%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 4.680ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #27 completed in 57.184ms (total), comm overhead: 8.2%
worker2-1           | [Worker 2] After 27000 images: accuracy=92.70%
worker2-1           | [Worker 2] After 27000 images: avg_loss=0.089277
parameter_server-1  | [Parameter Server] Worker connected (request #55), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 3.008ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.890ms
parameter_server-1  | [Parameter Server] Updated elastic center in 17.189ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 6.431ms
parameter_server-1  | [Parameter Server] Request #55 processing: 32.055ms total (recv=2.890ms, update=17.189ms, send=6.431ms)
parameter_server-1  | [Parameter Server] Communication: 29.1%, Computation: 53.6%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 9.356ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #28 completed in 60.706ms (total), comm overhead: 15.4%
worker1-1           | [Worker 1] After 28000 images: accuracy=93.10%
worker1-1           | [Worker 1] After 28000 images: avg_loss=0.102378
parameter_server-1  | [Parameter Server] Worker connected (request #56), starting timer
worker2-1           | [Worker 2] Sent 238200 weights in 7.090ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 8.086ms
parameter_server-1  | [Parameter Server] Updated elastic center in 19.609ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 3.820ms
parameter_server-1  | [Parameter Server] Request #56 processing: 38.137ms total (recv=8.086ms, update=19.609ms, send=3.820ms)
parameter_server-1  | [Parameter Server] Communication: 31.2%, Computation: 51.4%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker 2] Received 238200 center weights in 8.829ms
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #28 completed in 65.995ms (total), comm overhead: 13.4%
worker2-1           | [Worker 2] After 28000 images: accuracy=92.70%
worker2-1           | [Worker 2] After 28000 images: avg_loss=0.080341
parameter_server-1  | [Parameter Server] Worker connected (request #57), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 2.469ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 2.327ms
parameter_server-1  | [Parameter Server] Updated elastic center in 18.785ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 4.293ms
parameter_server-1  | [Parameter Server] Request #57 processing: 33.227ms total (recv=2.327ms, update=18.785ms, send=4.293ms)
parameter_server-1  | [Parameter Server] Communication: 19.9%, Computation: 56.5%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1-1           | [Worker 1] Received 238200 center weights in 4.217ms
worker1-1           | [Worker] Applied elastic averaging with α=0.010
worker1-1           | [Worker 1] Sync #29 completed in 56.555ms (total), comm overhead: 7.5%
worker1-1           | [Worker 1] After 29000 images: accuracy=93.30%
worker1-1           | [Worker 1] After 29000 images: avg_loss=0.092700
parameter_server-1  | [Parameter Server] Worker connected (request #58), starting timer
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 2 in 2.612ms
worker2-1           | [Worker 2] Sent 238200 weights in 4.926ms
parameter_server-1  | [Parameter Server] Updated elastic center in 28.469ms
worker2-1           | [Worker 2] Received 238200 center weights in 3.990ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 2 in 1.880ms
parameter_server-1  | [Parameter Server] Request #58 processing: 43.949ms total (recv=2.612ms, update=28.469ms, send=1.880ms)
parameter_server-1  | [Parameter Server] Communication: 10.2%, Computation: 64.8%
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2-1           | [Worker] Applied elastic averaging with α=0.010
worker2-1           | [Worker 2] Sync #29 completed in 70.176ms (total), comm overhead: 5.7%
worker2-1           | [Worker 2] After 29000 images: accuracy=93.60%
worker2-1           | [Worker 2] After 29000 images: avg_loss=0.050875
parameter_server-1  | [Parameter Server] Worker connected (request #59), starting timer
worker1-1           | [Worker 1] Sent 238200 weights in 5.251ms
parameter_server-1  | [Parameter Server] Received 238200 weights from worker 1 in 5.114ms
parameter_server-1  | [Parameter Server] Updated elastic center in 25.895ms
parameter_server-1  | [Parameter Server] Sent 238200 center weights to worker 1 in 2.502ms
parameter_server-1  | [Parameter Server] Request #59 processing: 47.552ms total (recv=5.114ms, update=25.895ms, send=2.502ms)
parameter_server-1  | [Parameter Server] Communication: 16.0%, Computation: 54.5%
